ONGC,Oil & Gas
OILCOUNTUB,Oil & Gas
ORIENTHOT,"Hotels, Restaurants & Tourism"
OSWALAGRO,Other Financial Services
INDSUCR,"Food, Beverages & Tobacco"
RELIANCE,Oil & Gas
PILITA,General Industrials
RAYMOND,"Textiles, Apparels & Accessories"
PIDILITIND,Chemicals & Petrochemicals
PIXTRANS,Automobiles & Auto Components
BIRLACORPN,Construction Materials
SURYAROSNI,Metals & Mining
PRIMESECU,Other Financial Services
PRSMJOHNSN,Construction Materials
RAIN,Chemicals & Petrochemicals
AMJLAND,Realty
PUNJCOMMU,Telecommunications Equipment
RSWM,"Textiles, Apparels & Accessories"
RAJSREESUG,"Food, Beverages & Tobacco"
RALLIS,Chemicals & Petrochemicals
RAMANEWS,Forest Materials
RAPICUT,Capital Goods
WELSPLSOL,Metals & Mining
ROLTA,Software & Services
RUBFILA,Automobiles & Auto Components
RUCHISOYA,"Food, Beverages & Tobacco"
SALORAINTL,Commercial Services & Supplies
JINDALSAW,General Industrials
JKLAKSHMI,Construction Materials
SHREECEM,Construction Materials
SKPMIL,Forest Materials
RELINFRA,Utilities
TATAPOWER,Utilities
SPMLINFRA,Capital Goods
SUNDRMFAST,Automobiles & Auto Components
SUNFLAG,Metals & Mining
SUPPETRO,Chemicals & Petrochemicals
SWARAJENG,Capital Goods
TATAELXSI,Software & Services
ACC,Construction Materials
THERMAX,Capital Goods
TIRUMALCHM,Chemicals & Petrochemicals
THOMASCOOK,"Hotels, Restaurants & Tourism"
TIMEX,"Textiles, Apparels & Accessories"
TOKYOPLAST,General Industrials
TORNTPHARM,Pharmaceuticals & Biotechnology
TRANSCHEM,Pharmaceuticals & Biotechnology
AMBUJACEM,Construction Materials
UTLINDS,Realty
UNIPHOS,Commercial Services & Supplies
VHL,Other Financial Services
HINDALCO,Metals & Mining
WSTCSTPAPR,Forest Materials
HOCL,Chemicals & Petrochemicals
MPILCORPL,Other Financial Services
PASUPTAC,Chemicals & Petrochemicals
KORE,"Food, Beverages & Tobacco"
PGHH,Household & Personal Products
MUKANDLTD,Metals & Mining
BBOX,Software & Services
UCALFUEL,Automobiles & Auto Components
HARRMALAYA,Automobiles & Auto Components
FEDERALBNK,Banks
TATASTEEL,Metals & Mining
SKFINDIA,Capital Goods
ASHOKLEY,Capital Goods
CUMMINSIND,Capital Goods
TATACOMM,Telecom Services
ABBOTINDIA,Pharmaceuticals & Biotechnology
BAJAJHLDNG,Other Financial Services
BHARATFORG,General Industrials
ESCORTS,Capital Goods
HINDMOTORS,Automobiles & Auto Components
LT,Capital Goods
M&M,Automobiles & Auto Components
BOSCHLTD,Automobiles & Auto Components
PREMIER,Capital Goods
BPCL,Oil & Gas
SIEMENS,Capital Goods
TATAMOTORS,Capital Goods
VOLTAS,Consumer Durables
GESHIP,Transportation
DEEPAKFERT,Chemicals & Petrochemicals
EXCELINDUS,Chemicals & Petrochemicals
GRWRHITECH,Chemicals & Petrochemicals
GLAXO,Pharmaceuticals & Biotechnology
GNFC,Chemicals & Petrochemicals
NOVARTIND,Pharmaceuticals & Biotechnology
SANOFI,Pharmaceuticals & Biotechnology
PFIZER,Pharmaceuticals & Biotechnology
GSFC,Chemicals & Petrochemicals
HINDUNILVR,Household & Personal Products
AKZOINDIA,Consumer Durables
NOCIL,Chemicals & Petrochemicals
TATACHEM,Chemicals & Petrochemicals
TNPETRO,Chemicals & Petrochemicals
ZUARIGLOB,"Food, Beverages & Tobacco"
NESTLEIND,"Food, Beverages & Tobacco"
TATACONSUM,"Food, Beverages & Tobacco"
ASIANPAINT,Consumer Durables
BRITANNIA,"Food, Beverages & Tobacco"
COLPAL,Household & Personal Products
EIHOTEL,"Hotels, Restaurants & Tourism"
INDHOTEL,"Hotels, Restaurants & Tourism"
CASTROLIND,Oil & Gas
ITC,"Food, Beverages & Tobacco"
APOLLOTYRE,Automobiles & Auto Components
CEATLTD,Automobiles & Auto Components
MODIRUBBER,Automobiles & Auto Components
FINOLEXIND,General Industrials
SUNRINV,Other Financial Services
ZGOLDINV,Commercial Services & Supplies
PEOPLIN,Commercial Services & Supplies
DSINVEST,Other Financial Services
CENTRUM,Other Financial Services
KARTKIN,Other Financial Services
TCIFINANCE,Other Financial Services
KRATOSENER,Other Financial Services
ANTARIKSH,Realty
IITL,Other Financial Services
INDPRUD,Other Financial Services
TATAINVEST,Other Financial Services
JAYBHCR,Other Financial Services
PRISMX,Commercial Services & Supplies
MOTOGENFIN,Other Financial Services
RAPIDIN,Commercial Services & Supplies
WALCHPF,Commercial Services & Supplies
ZSWASTSA,Other Financial Services
WHBRADY,Commercial Services & Supplies
TECHNVISN,Software & Services
SHAILY,General Industrials
BBTC,"Food, Beverages & Tobacco"
BOMBCYC,Commercial Services & Supplies
GREAVESCOT,Capital Goods
MULLER,Commercial Services & Supplies
AMALGAM,Commercial Services & Supplies
ANANDPROJ,Capital Goods
INDIANVSH,Other Financial Services
COASTCORP,"Food, Beverages & Tobacco"
CHOWGULSTM,Transportation
GLOBOFFS,Transportation
ASIIL,Metals & Mining
SAGCEM,Construction Materials
DECCANCE,Construction Materials
MANGLMCEM,Construction Materials
NCLIND,Construction Materials
SAURASHCEM,Construction Materials
SHREDIGCEM,Construction Materials
BORORENEW,Consumer Durables
LERTHAI,Construction Materials
RASSIREF,Capital Goods
TRIVENIGQ,Construction Materials
NILACHAL,Construction Materials
ANDHRAPAP,Forest Materials
BALKRISIND,Automobiles & Auto Components
ORIENTPPR,Forest Materials
CITADEL,Realty
ROLLT,General Industrials
SESHAPAPER,Forest Materials
SOLIDCO,Forest Materials
NATHIND,Forest Materials
VAPIPPR,Forest Materials
SINTEX,"Textiles, Apparels & Accessories"
DCM,General Industrials
ZGAEKWAR,"Textiles, Apparels & Accessories"
FORBESCO,Capital Goods
HPCOTTON,"Textiles, Apparels & Accessories"
UNITEDINT,Software & Services
KATRSPG,"Textiles, Apparels & Accessories"
KESORAMIND,Construction Materials
LAKSHMIMIL,"Textiles, Apparels & Accessories"
VTL,"Textiles, Apparels & Accessories"
PENINLAND,Realty
PASUSPG,"Textiles, Apparels & Accessories"
PHOENIXLTD,Realty
MARATHON,Realty
RAJABAH,Diversified
RELCHEMQ,"Textiles, Apparels & Accessories"
RUBYMILLS,"Textiles, Apparels & Accessories"
SIMPLXREA,Realty
SWANENERGY,"Textiles, Apparels & Accessories"
VICTMILL,"Textiles, Apparels & Accessories"
ZSVTRADI,Other Financial Services
ZSVARAJT,Other Financial Services
SALSAIN,Other Financial Services
INDSOYA,Commercial Services & Supplies
ZODIACVEN,Commercial Services & Supplies
VEERENRGY,Utilities
SW1,Commercial Services & Supplies
TILAK,Other Financial Services
KKFIN,Commercial Services & Supplies
UNIJOLL,Other Financial Services
WAGEND,Commercial Services & Supplies
ELCIDIN,Commercial Services & Supplies
HEALINV,Commercial Services & Supplies
SAHARA,Media
SHRENTI,Commercial Services & Supplies
BANSWRAS,"Textiles, Apparels & Accessories"
MODWOOL,Commercial Services & Supplies
MODIPON,Chemicals & Petrochemicals
SHRIDINE,"Textiles, Apparels & Accessories"
SRF,Diversified
SIYSIL,"Textiles, Apparels & Accessories"
SWADPOL,"Textiles, Apparels & Accessories"
SHRAJSYNQ,"Textiles, Apparels & Accessories"
ZSATYASL,Other Financial Services
BBL,Capital Goods
ELPROINTL,Capital Goods
GEE,Capital Goods
HIRECT,Hardware Technology & Equipment
NIPPOBATRY,Household & Personal Products
ZENSARTECH,Software & Services
JYOTI,Capital Goods
JSLINDL,Capital Goods
KAYCEEI,Capital Goods
INDOKEM,Chemicals & Petrochemicals
PANAENERG,Household & Personal Products
NELCO,Hardware Technology & Equipment
PERMAGN,Capital Goods
HIGHENE,Household & Personal Products
STDBAT,Other Financial Services
UNIVCABLES,Capital Goods
DLTNCBL,Capital Goods
LAKSELEC,Capital Goods
MODULEX,Capital Goods
DELTAMAGNT,Capital Goods
CONFINT,Other Financial Services
RELTD,Utilities
GDTRAGN,Other Financial Services
ZMULTIPU,Commercial Services & Supplies
RIDHISYN,Other Financial Services
SOFTBPO,Software & Services
NYSSACORP,Commercial Services & Supplies
FLOMIC,Commercial Services & Supplies
KRISHNA,Other Financial Services
GANHOLD,Commercial Services & Supplies
UNIABEXAL,General Industrials
SARDAEN,Metals & Mining
BGWTATO,Automobiles & Auto Components
BOMBWIR,General Industrials
GALADA,Capital Goods
IBRIGST,Metals & Mining
INDIANHUME,Construction Materials
INLCM,General Industrials
INVPRECQ,General Industrials
INFORTEC,Software & Services
KAIRA,General Industrials
ORIENTABRA,General Industrials
NATIONSTD,Realty
DUNCANENG,Automobiles & Auto Components
SANDUMA,Metals & Mining
STOVACQ,Capital Goods
TATAYODOGA,Metals & Mining
TINPLATE,General Industrials
CHOLAHLDNG,Other Financial Services
ZWELCAST,General Industrials
WMINIMT,Metals & Mining
AUTOAXLES,Automobiles & Auto Components
ACGL,Automobiles & Auto Components
SETCO,Automobiles & Auto Components
INRADIA,Automobiles & Auto Components
SCOOTER,Automobiles & Auto Components
TALBROAUTO,Automobiles & Auto Components
ZFSTEERING,Automobiles & Auto Components
SMLISUZU,Capital Goods
TIL,Transportation
EICHERMOT,Automobiles & Auto Components
JAINEX,Automobiles & Auto Components
ALFREDHE,Other Financial Services
VELJAN,Automobiles & Auto Components
DYNAMATECH,Capital Goods
GGDANDE,Capital Goods
